constant    1: beta    0, exp    1
constant  708: beta   16, exp   31
constant  709: beta   16, exp   31
constant  710: beta   16, exp   31
constant  711: beta   16, exp   31
constant  712: beta   34, exp   49
constant  713: beta   34, exp   49
constant  714: beta   34, exp   49
constant  715: beta   34, exp   49
constant  716: beta   45, exp   72
constant  717: beta   33, exp   54
constant  718: beta   33, exp   54
constant  719: beta   45, exp   72
constant  720: beta   76, exp  110
constant  721: beta   76, exp  110
constant  722: beta   71, exp  105
constant  723: beta   71, exp  105
constant  724: beta   99, exp  135
constant  725: beta   80, exp   91
constant  726: beta   90, exp  101
constant  727: beta   70, exp   88
constant  728: beta   18, exp   29
constant  729: beta   30, exp   47
constant  730: beta   36, exp   59
constant  731: beta   95, exp  133
constant  732: beta   81, exp  111
constant  733: beta   32, exp   51
constant  734: beta   32, exp   51
constant  735: beta   38, exp   64
constant  736: beta   26, exp   47
constant  737: beta  102, exp  125
constant  738: beta   25, exp   43
constant  739: beta   87, exp  113
constant  740: beta   25, exp   43
constant  741: beta   33, exp   55
constant  742: beta   87, exp  113
constant  743: beta   18, exp   29
constant  744: beta   36, exp   59
constant  745: beta   38, exp   58
constant  746: beta   11, exp   22
constant  747: beta   25, exp   40
constant  748: beta    7, exp   17
constant  749: beta   47, exp   72
constant  750: beta  125, exp  161
constant  751: beta   61, exp   83
constant  752: beta   74, exp   98
constant  753: beta   18, exp   31
constant  754: beta   36, exp   59
constant  755: beta   26, exp   43
constant  756: beta   64, exp   85
constant  757: beta   18, exp   31
constant  758: beta   64, exp   85
constant  759: beta   26, exp   43
constant  760: beta   53, exp   77
constant  761: beta   76, exp   95
constant  762: beta   53, exp   77
constant  763: beta   76, exp   95
constant  764: beta   31, exp   53
constant  765: beta   31, exp   53
constant  766: beta   86, exp  121
constant  767: beta   64, exp   85
constant  768: beta   36, exp   59
constant  769: beta   36, exp   59
constant  770: beta   15, exp   29
constant  771: beta   39, exp   61
constant  772: beta  179, exp  206
constant  773: beta  177, exp  202
constant  774: beta  179, exp  206
constant  775: beta   76, exp  101
constant  776: beta   28, exp   47
constant  777: beta   26, exp   43
constant  778: beta   64, exp   85
constant  779: beta   80, exp  107
constant  780: beta   64, exp   85
constant  781: beta   19, exp   35
constant  782: beta   65, exp   89
constant  783: beta   75, exp   89
constant  784: beta   53, exp   77
constant  785: beta   42, exp   59
constant  786: beta   54, exp   79
constant  787: beta  105, exp  135
constant  788: beta  105, exp  135
constant  789: beta   44, exp   63
constant  790: beta   44, exp   63
constant  791: beta   79, exp  120
constant  792: beta   44, exp   67
constant  793: beta  130, exp  149
constant  794: beta   43, exp   63
constant  795: beta  113, exp  137
constant  796: beta   43, exp   63
constant  797: beta   54, exp   81
constant  798: beta  113, exp  137
constant  799: beta   54, exp   79
constant  800: beta   39, exp   62
constant  801: beta   52, exp   81
constant  802: beta   49, exp   76
constant  803: beta   23, exp   44
constant  804: beta    8, exp   18
constant  805: beta    7, exp   18
constant  806: beta    7, exp   16
constant  807: beta   22, exp   40
constant  808: beta   64, exp   91
constant  809: beta   60, exp   86
constant  810: beta   29, exp   47
constant  811: beta   24, exp   43
constant  812: beta   29, exp   47
constant  813: beta   15, exp   31
constant  814: beta   48, exp   74
constant  815: beta   17, exp   33
constant  816: beta   29, exp   47
constant  817: beta   21, exp   39
constant  818: beta   29, exp   47
constant  819: beta    7, exp   11
constant  820: beta    7, exp    9
constant  821: beta    7, exp   11
constant  822: beta    9, exp   22
constant  823: beta   13, exp   25
constant  824: beta    8, exp   24
constant  825: beta   31, exp   49
constant  826: beta   45, exp   64
constant  827: beta   45, exp   66
constant  828: beta   37, exp   54
constant  829: beta   34, exp   45
constant  830: beta   41, exp   68
constant  831: beta   76, exp  117
constant  832: beta   71, exp  104
constant  833: beta   55, exp   84
constant  834: beta   45, exp   74
constant  835: beta   40, exp   66
constant  836: beta   33, exp   54
constant  837: beta   72, exp  108
constant  838: beta   65, exp   99
constant  839: beta   97, exp  124
constant  840: beta   50, exp   70
constant  841: beta   55, exp   78
constant  842: beta   54, exp   81
constant  843: beta   35, exp   59
constant  844: beta   48, exp   78
constant  845: beta   64, exp  100
constant  846: beta   13, exp   29
constant  847: beta   17, exp   32
constant  848: beta   21, exp   35
